iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
168	0.402104	0.431657	0.208626	0.0334788	0.419017	0.10979	0.107851	8.715388e+00	-1.975888e+02	-1.888734e+02
169	0.402104	0.431657	0.208626	0.0334788	0.430246	0.109477	0.107851	8.715388e+00	-2.001186e+02	-1.914032e+02
170	0.402104	0.434353	0.208626	0.0334788	0.421487	0.109477	0.107851	8.628109e+00	-1.988803e+02	-1.902522e+02
171	0.328472	0.434353	0.21261	0.0334788	0.421487	0.109582	0.107851	7.320352e+00	-1.980942e+02	-1.907739e+02
172	0.328472	0.633849	0.21261	0.0334788	0.421487	0.109582	0.107851	6.261115e+00	-1.980942e+02	-1.918331e+02
173	0.320822	0.633849	0.21261	0.0334788	0.421487	0.109382	0.109265	6.225044e+00	-1.983792e+02	-1.921542e+02
174	0.312314	0.836902	0.21261	0.0334788	0.421487	0.109909	0.108602	5.696270e+00	-1.965777e+02	-1.908814e+02
175	0.312314	0.732207	0.21261	0.0334788	0.421487	0.109909	0.109919	5.918884e+00	-1.961350e+02	-1.902161e+02
176	0.327207	0.820016	0.21261	0.0334788	0.421487	0.109981	0.109919	5.780656e+00	-1.958602e+02	-1.900796e+02
177	0.327207	0.820016	0.21261	0.0334788	0.421487	0.109981	0.109919	5.780656e+00	-1.958602e+02	-1.900796e+02
178	0.327207	0.977879	0.215553	0.0334788	0.421487	0.109981	0.109919	5.500704e+00	-1.957676e+02	-1.902669e+02
179	0.364252	0.641551	0.215553	0.0334788	0.404783	0.109981	0.109919	6.410250e+00	-1.961275e+02	-1.897172e+02
180	0.364252	0.641551	0.234532	0.0334788	0.404783	0.109981	0.109919	6.396739e+00	-1.960227e+02	-1.896260e+02
181	0.282047	0.462454	0.234532	0.0334788	0.404783	0.109981	0.109919	6.705019e+00	-1.960227e+02	-1.893177e+02
182	0.387616	0.462454	0.234532	0.0334788	0.403435	0.109832	0.109919	7.743963e+00	-1.966058e+02	-1.888619e+02
183	0.352278	0.462454	0.229026	0.0334788	0.403435	0.109832	0.109919	7.305051e+00	-1.961364e+02	-1.888313e+02
184	0.352278	0.653562	0.225197	0.0334788	0.403435	0.109832	0.109919	6.301805e+00	-1.960676e+02	-1.897658e+02
185	0.352278	0.464442	0.225197	0.0334788	0.403435	0.109832	0.109919	7.289897e+00	-1.960676e+02	-1.887777e+02
186	0.352278	0.464442	0.225197	0.0334788	0.403435	0.109381	0.109919	7.289897e+00	-1.977255e+02	-1.904356e+02
187	0.352278	0.464442	0.225197	0.0334788	0.403435	0.109442	0.109919	7.289897e+00	-1.974999e+02	-1.902100e+02
188	0.352278	0.464442	0.225197	0.0334788	0.403435	0.109442	0.109919	7.289897e+00	-1.974999e+02	-1.902100e+02
189	0.352278	0.414495	0.236204	0.0334788	0.403435	0.109162	0.109919	7.871348e+00	-1.992980e+02	-1.914266e+02
190	0.352278	0.414495	0.236204	0.0334788	0.403435	0.109162	0.104188	7.871348e+00	-2.025212e+02	-1.946499e+02
191	0.352278	0.414495	0.217786	0.0334788	0.403435	0.109528	0.104188	7.884485e+00	-2.008241e+02	-1.929396e+02
192	0.352278	0.414495	0.217786	0.0334788	0.403435	0.109587	0.10524	7.884485e+00	-1.999888e+02	-1.921043e+02
193	0.352278	0.414495	0.217786	0.0334788	0.404134	0.109837	0.10524	7.884485e+00	-1.989033e+02	-1.910188e+02
194	0.352278	0.414495	0.217786	0.0334788	0.404134	0.109833	0.10524	7.884485e+00	-1.989150e+02	-1.910305e+02
195	0.352278	0.414495	0.225772	0.0334788	0.404134	0.109833	0.10524	7.878818e+00	-1.984467e+02	-1.905679e+02
196	0.352278	0.414495	0.225772	0.0334788	0.409285	0.109833	0.10683	7.878818e+00	-1.971477e+02	-1.892689e+02
197	0.378832	0.414495	0.225772	0.0334788	0.409285	0.109833	0.105664	8.477190e+00	-1.977320e+02	-1.892548e+02
198	0.378832	0.414495	0.217921	0.0334788	0.412934	0.109833	0.10979	8.482762e+00	-1.957257e+02	-1.872429e+02
199	0.357979	0.414495	0.217921	0.0334788	0.412934	0.109833	0.10979	7.989332e+00	-1.957257e+02	-1.877364e+02
200	0.388056	0.414495	0.217921	0.0334788	0.412934	0.109731	0.10979	8.796969e+00	-1.961101e+02	-1.873131e+02
